Date,Expense/Income,Name / Description,Amount (EUR),Transaction vs category,Transaction,Category
1/18/2023,Income,Real Estate Rental Income,2258.26,38. Real Estate Rental Income - Income,Real Estate Rental Income,Income
1/19/2023,Expense,Streaming Service Subscription,855.48,29. Streaming Service Subscription - Leisure,Streaming Service Subscription,Leisure
1/23/2023,Expense,Rent Payment,184.5,15. Rent Payment - Housing,Rent Payment,Housing
1/23/2023,Expense,Rent Payment,184.5,25. Rent Payment - Housing,Rent Payment,Housing
1/23/2023,Expense,Car Maintenance,733.84,31. Car Maintenance - Vehicles,Car Maintenance,Vehicles
1/24/2023,Expense,Electricity Bill,859.02,11. Electricity Bill - Utilities,Electricity Bill,Utilities
1/24/2023,Expense,Electricity Bill,859.02,21. Electricity Bill - Utilities,Electricity Bill,Utilities
1/26/2023,Income,Selling Paintings,1121.5,36. Selling Paintings - Income,Selling Paintings,Income
2/3/2023,Income,Bonus Payment,4028.4,4. Bonus Payment - Salary,Bonus Payment,Salary
2/4/2023,Expense,Clothing Purchase,969.85,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
2/5/2023,Expense,Car Maintenance,26.6,31. Car Maintenance - Vehicles,Car Maintenance,Vehicles
2/8/2023,Expense,Travel Expenses,168.4,16. Travel Expenses - Travel,Travel Expenses,Travel
2/8/2023,Expense,Travel Expenses,168.4,26. Travel Expenses - Travel,Travel Expenses,Travel
2/9/2023,Income,Real Estate Rental Income,4838.28,38. Real Estate Rental Income - Income,Real Estate Rental Income,Income
2/13/2023,Income,Selling Paintings,3936.22,36. Selling Paintings - Income,Selling Paintings,Income
2/17/2023,Income,Bonus Payment,1856.68,4. Bonus Payment - Salary,Bonus Payment,Salary
2/19/2023,Expense,Clothing Purchase,682.86,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
2/20/2023,Income,Investment Returns,992.92,17. Investment Returns - Investments,Investment Returns,Investments
2/20/2023,Income,Investment Returns,992.92,27. Investment Returns - Investments,Investment Returns,Investments
2/21/2023,Expense,Water Bill,171.74,14. Water Bill - Utilities,Water Bill,Utilities
2/21/2023,Expense,Water Bill,171.74,24. Water Bill - Utilities,Water Bill,Utilities
2/23/2023,Income,Scholarship,4842.98,28. Scholarship - Education,Scholarship,Education
2/28/2023,Expense,Car Maintenance,802.43,31. Car Maintenance - Vehicles,Car Maintenance,Vehicles
3/1/2023,Income,Real Estate Rental Income,2794.43,38. Real Estate Rental Income - Income,Real Estate Rental Income,Income
3/5/2023,Income,Bonus Payment,1845.51,4. Bonus Payment - Salary,Bonus Payment,Salary
3/5/2023,Income,Selling Paintings,2283.24,36. Selling Paintings - Income,Selling Paintings,Income
3/5/2023,Income,Scholarship,3741.21,28. Scholarship - Education,Scholarship,Education
3/10/2023,Expense,Public Transport Ticket,429.58,34. Public Transport Ticket - Travel,Public Transport Ticket,Travel
3/11/2023,Expense,Internet Subscription,870.14,30. Internet Subscription - Utilities,Internet Subscription,Utilities
3/14/2023,Income,Freelance Work,1950.36,32. Freelance Work - Income,Freelance Work,Income
3/15/2023,Expense,Phone Bill,350.84,39. Phone Bill - Utilities,Phone Bill,Utilities
3/19/2023,Expense,Travel Expenses,349.97,16. Travel Expenses - Travel,Travel Expenses,Travel
3/19/2023,Expense,Travel Expenses,349.97,26. Travel Expenses - Travel,Travel Expenses,Travel
3/22/2023,Expense,Car Maintenance,185.57,31. Car Maintenance - Vehicles,Car Maintenance,Vehicles
3/23/2023,Expense,Entertainment,730.95,18. Entertainment - Leisure,Entertainment,Leisure
3/23/2023,Income,Bonus Payment,3987.61,4. Bonus Payment - Salary,Bonus Payment,Salary
3/24/2023,Income,Real Estate Rental Income,4855.18,38. Real Estate Rental Income - Income,Real Estate Rental Income,Income
3/24/2023,Expense,Insurance Payment,369.26,6. Insurance Payment - Insurance,Insurance Payment,Insurance
3/25/2023,Expense,Internet Subscription,122.24,30. Internet Subscription - Utilities,Internet Subscription,Utilities
3/26/2023,Income,Side Business Earnings,873.98,12. Side Business Earnings - Income,Side Business Earnings,Income
3/26/2023,Income,Side Business Earnings,873.98,22. Side Business Earnings - Income,Side Business Earnings,Income
3/26/2023,Income,Salary,4669.89,33. Salary - Income,Salary,Income
3/28/2023,Income,Salary,3658.11,33. Salary - Income,Salary,Income
3/29/2023,Expense,Electricity Bill,818.52,11. Electricity Bill - Utilities,Electricity Bill,Utilities
3/29/2023,Expense,Electricity Bill,818.52,21. Electricity Bill - Utilities,Electricity Bill,Utilities
4/3/2023,Expense,Online Shopping,314.27,3. Online Shopping - Shopping,Online Shopping,Shopping
4/7/2023,Expense,Dining Out,522.34,5. Dining Out - Food,Dining Out,Food and Drinks
4/7/2023,Expense,Electricity Bill,614.14,11. Electricity Bill - Utilities,Electricity Bill,Utilities
4/7/2023,Expense,Electricity Bill,614.14,21. Electricity Bill - Utilities,Electricity Bill,Utilities
4/10/2023,Expense,Entertainment,606.59,18. Entertainment - Leisure,Entertainment,Leisure
4/14/2023,Expense,Car Maintenance,392.55,31. Car Maintenance - Vehicles,Car Maintenance,Vehicles
4/15/2023,Expense,Clothing Purchase,100.22,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
4/22/2023,Income,Stock Dividends,1990.39,8. Stock Dividends - Investments,Stock Dividends,Investments
4/23/2023,Income,Scholarship,4443.88,28. Scholarship - Education,Scholarship,Education
4/28/2023,Expense,Medical Expenses,139.09,35. Medical Expenses - Healthcare,Medical Expenses,Health and Wellness
4/28/2023,Income,Stock Dividends,4370.5,8. Stock Dividends - Investments,Stock Dividends,Investments
4/29/2023,Expense,Streaming Service Subscription,644.0,29. Streaming Service Subscription - Leisure,Streaming Service Subscription,Leisure
5/1/2023,Expense,Clothing Purchase,320.88,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
5/4/2023,Expense,Clothing Purchase,408.07,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
5/4/2023,Expense,Internet Subscription,707.4,30. Internet Subscription - Utilities,Internet Subscription,Utilities
5/8/2023,Expense,Public Transport Ticket,132.05,34. Public Transport Ticket - Travel,Public Transport Ticket,Travel
5/10/2023,Expense,Phone Bill,940.54,39. Phone Bill - Utilities,Phone Bill,Utilities
5/13/2023,Income,Stock Dividends,1473.18,8. Stock Dividends - Investments,Stock Dividends,Investments
5/14/2023,Expense,Rent Payment,253.22,15. Rent Payment - Housing,Rent Payment,Housing
5/14/2023,Expense,Rent Payment,253.22,25. Rent Payment - Housing,Rent Payment,Housing
5/14/2023,Expense,Electricity Bill,556.06,11. Electricity Bill - Utilities,Electricity Bill,Utilities
5/14/2023,Expense,Electricity Bill,556.06,21. Electricity Bill - Utilities,Electricity Bill,Utilities
5/16/2023,Expense,Entertainment,777.54,18. Entertainment - Leisure,Entertainment,Leisure
5/21/2023,Expense,Gym Membership,973.24,7. Gym Membership - Fitness,Gym Membership,Fitness
5/21/2023,Expense,Public Transport Ticket,269.47,34. Public Transport Ticket - Travel,Public Transport Ticket,Travel
5/23/2023,Expense,Internet Subscription,84.82,30. Internet Subscription - Utilities,Internet Subscription,Utilities
5/25/2023,Expense,Insurance Payment,349.01,6. Insurance Payment - Insurance,Insurance Payment,Insurance
5/27/2023,Expense,Rent Payment,974.41,15. Rent Payment - Housing,Rent Payment,Housing
5/27/2023,Expense,Rent Payment,974.41,25. Rent Payment - Housing,Rent Payment,Housing
5/28/2023,Expense,Electricity Bill,478.22,11. Electricity Bill - Utilities,Electricity Bill,Utilities
5/28/2023,Expense,Electricity Bill,478.22,21. Electricity Bill - Utilities,Electricity Bill,Utilities
5/29/2023,Expense,Insurance Payment,98.73,6. Insurance Payment - Insurance,Insurance Payment,Insurance
5/30/2023,Income,Scholarship,1754.4,28. Scholarship - Education,Scholarship,Education
6/2/2023,Expense,Internet Subscription,580.37,30. Internet Subscription - Utilities,Internet Subscription,Utilities
6/3/2023,Expense,Travel Expenses,161.16,16. Travel Expenses - Travel,Travel Expenses,Travel
6/3/2023,Expense,Travel Expenses,161.16,26. Travel Expenses - Travel,Travel Expenses,Travel
6/6/2023,Expense,Rent Payment,357.96,15. Rent Payment - Housing,Rent Payment,Housing
6/6/2023,Expense,Rent Payment,357.96,25. Rent Payment - Housing,Rent Payment,Housing
6/15/2023,Expense,Electricity Bill,602.26,11. Electricity Bill - Utilities,Electricity Bill,Utilities
6/15/2023,Expense,Electricity Bill,602.26,21. Electricity Bill - Utilities,Electricity Bill,Utilities
6/16/2023,Income,Bonus Payment,733.23,4. Bonus Payment - Salary,Bonus Payment,Salary
6/19/2023,Income,Tax Refund,4853.9,9. Tax Refund - Taxes,Tax Refund,Taxes
6/19/2023,Income,Tax Refund,4853.9,19. Tax Refund - Taxes,Tax Refund,Taxes
6/23/2023,Expense,Gym Membership,954.52,7. Gym Membership - Fitness,Gym Membership,Fitness
6/26/2023,Expense,Rent Payment,476.25,15. Rent Payment - Housing,Rent Payment,Housing
6/26/2023,Expense,Rent Payment,476.25,25. Rent Payment - Housing,Rent Payment,Housing
6/29/2023,Expense,Internet Subscription,292.81,30. Internet Subscription - Utilities,Internet Subscription,Utilities
7/5/2023,Expense,Travel Expenses,146.59,16. Travel Expenses - Travel,Travel Expenses,Travel
7/5/2023,Expense,Travel Expenses,146.59,26. Travel Expenses - Travel,Travel Expenses,Travel
7/5/2023,Expense,Grocery Shopping,668.61,,,
7/7/2023,Income,Bonus Payment,2528.79,4. Bonus Payment - Salary,Bonus Payment,Salary
7/8/2023,Expense,Medical Expenses,80.82,35. Medical Expenses - Healthcare,Medical Expenses,Health and Wellness
7/14/2023,Expense,Water Bill,654.98,14. Water Bill - Utilities,Water Bill,Utilities
7/14/2023,Expense,Water Bill,654.98,24. Water Bill - Utilities,Water Bill,Utilities
7/15/2023,Income,Tax Refund,1188.97,9. Tax Refund - Taxes,Tax Refund,Taxes
7/15/2023,Income,Tax Refund,1188.97,19. Tax Refund - Taxes,Tax Refund,Taxes
7/15/2023,Income,Freelance Work,4715.36,32. Freelance Work - Income,Freelance Work,Income
7/18/2023,Expense,Entertainment,752.22,18. Entertainment - Leisure,Entertainment,Leisure
7/22/2023,Expense,Coffee Shop,535.78,10. Coffee Shop - Food,Coffee Shop,Food and Drinks
7/22/2023,Expense,Coffee Shop,535.78,20. Coffee Shop - Food,Coffee Shop,Food and Drinks
7/22/2023,Expense,Electricity Bill,275.66,11. Electricity Bill - Utilities,Electricity Bill,Utilities
7/22/2023,Expense,Electricity Bill,275.66,21. Electricity Bill - Utilities,Electricity Bill,Utilities
7/23/2023,Expense,Online Shopping,705.46,3. Online Shopping - Shopping,Online Shopping,Shopping
7/25/2023,Expense,Entertainment,18.51,18. Entertainment - Leisure,Entertainment,Leisure
7/25/2023,Expense,Online Shopping,345.59,3. Online Shopping - Shopping,Online Shopping,Shopping
7/26/2023,Income,Freelance Work,2027.31,32. Freelance Work - Income,Freelance Work,Income
7/29/2023,Expense,Water Bill,434.81,14. Water Bill - Utilities,Water Bill,Utilities
7/29/2023,Expense,Water Bill,434.81,24. Water Bill - Utilities,Water Bill,Utilities
8/1/2023,Expense,Grocery Shopping,91.18,,,
8/1/2023,Income,Gift Received,4603.01,13. Gift Received - Gifts,Gift Received,Gifts
8/1/2023,Income,Gift Received,4603.01,23. Gift Received - Gifts,Gift Received,Gifts
8/6/2023,Expense,Entertainment,934.61,18. Entertainment - Leisure,Entertainment,Leisure
8/7/2023,Expense,Gym Membership,994.74,7. Gym Membership - Fitness,Gym Membership,Fitness
8/10/2023,Expense,Clothing Purchase,142.75,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
8/12/2023,Expense,Phone Bill,509.6,39. Phone Bill - Utilities,Phone Bill,Utilities
8/12/2023,Expense,Electricity Bill,340.84,11. Electricity Bill - Utilities,Electricity Bill,Utilities
8/12/2023,Expense,Electricity Bill,340.84,21. Electricity Bill - Utilities,Electricity Bill,Utilities
8/14/2023,Expense,Medical Expenses,653.78,35. Medical Expenses - Healthcare,Medical Expenses,Health and Wellness
8/14/2023,Income,Freelance Work,1876.33,32. Freelance Work - Income,Freelance Work,Income
8/15/2023,Expense,Rent Payment,20.01,15. Rent Payment - Housing,Rent Payment,Housing
8/15/2023,Expense,Rent Payment,20.01,25. Rent Payment - Housing,Rent Payment,Housing
8/20/2023,Expense,Online Shopping,159.82,3. Online Shopping - Shopping,Online Shopping,Shopping
8/25/2023,Expense,Internet Subscription,784.35,30. Internet Subscription - Utilities,Internet Subscription,Utilities
8/26/2023,Expense,Gym Membership,33.86,7. Gym Membership - Fitness,Gym Membership,Fitness
8/27/2023,Income,Gift Received,3838.83,13. Gift Received - Gifts,Gift Received,Gifts
8/27/2023,Income,Gift Received,3838.83,23. Gift Received - Gifts,Gift Received,Gifts
8/28/2023,Income,Scholarship,2910.14,28. Scholarship - Education,Scholarship,Education
8/30/2023,Income,Salary,1879.24,33. Salary - Income,Salary,Income
8/31/2023,Expense,Electricity Bill,550.65,11. Electricity Bill - Utilities,Electricity Bill,Utilities
8/31/2023,Expense,Electricity Bill,550.65,21. Electricity Bill - Utilities,Electricity Bill,Utilities
9/2/2023,Income,Salary,2971.11,33. Salary - Income,Salary,Income
9/2/2023,Income,Real Estate Rental Income,2998.26,38. Real Estate Rental Income - Income,Real Estate Rental Income,Income
9/7/2023,Income,Selling Paintings,1120.82,36. Selling Paintings - Income,Selling Paintings,Income
9/7/2023,Income,Side Business Earnings,2470.64,12. Side Business Earnings - Income,Side Business Earnings,Income
9/7/2023,Income,Side Business Earnings,2470.64,22. Side Business Earnings - Income,Side Business Earnings,Income
9/16/2023,Income,Stock Dividends,2753.44,8. Stock Dividends - Investments,Stock Dividends,Investments
9/17/2023,Expense,Insurance Payment,300.96,6. Insurance Payment - Insurance,Insurance Payment,Insurance
9/17/2023,Income,Selling Paintings,3263.2,36. Selling Paintings - Income,Selling Paintings,Income
9/21/2023,Expense,Grocery Shopping,444.25,,,
9/21/2023,Expense,Medical Expenses,885.31,35. Medical Expenses - Healthcare,Medical Expenses,Health and Wellness
9/24/2023,Income,Tax Refund,1503.38,9. Tax Refund - Taxes,Tax Refund,Taxes
9/24/2023,Income,Tax Refund,1503.38,19. Tax Refund - Taxes,Tax Refund,Taxes
9/28/2023,Expense,Entertainment,536.85,18. Entertainment - Leisure,Entertainment,Leisure
9/28/2023,Income,Selling Paintings,4434.28,36. Selling Paintings - Income,Selling Paintings,Income
10/2/2023,Expense,Water Bill,580.56,14. Water Bill - Utilities,Water Bill,Utilities
10/2/2023,Expense,Water Bill,580.56,24. Water Bill - Utilities,Water Bill,Utilities
10/3/2023,Income,Gift Received,620.63,13. Gift Received - Gifts,Gift Received,Gifts
10/3/2023,Income,Gift Received,620.63,23. Gift Received - Gifts,Gift Received,Gifts
10/7/2023,Income,Stock Dividends,841.13,8. Stock Dividends - Investments,Stock Dividends,Investments
10/11/2023,Expense,Gym Membership,219.96,7. Gym Membership - Fitness,Gym Membership,Fitness
10/19/2023,Expense,Public Transport Ticket,948.23,34. Public Transport Ticket - Travel,Public Transport Ticket,Travel
10/25/2023,Income,Freelance Work,1475.36,32. Freelance Work - Income,Freelance Work,Income
10/30/2023,Expense,Public Transport Ticket,285.99,34. Public Transport Ticket - Travel,Public Transport Ticket,Travel
11/5/2023,Expense,Car Maintenance,345.66,31. Car Maintenance - Vehicles,Car Maintenance,Vehicles
11/6/2023,Income,Tax Refund,1945.84,9. Tax Refund - Taxes,Tax Refund,Taxes
11/6/2023,Income,Tax Refund,1945.84,19. Tax Refund - Taxes,Tax Refund,Taxes
11/8/2023,Income,Tax Refund,804.24,9. Tax Refund - Taxes,Tax Refund,Taxes
11/8/2023,Income,Tax Refund,804.24,19. Tax Refund - Taxes,Tax Refund,Taxes
11/13/2023,Expense,Coffee Shop,214.65,10. Coffee Shop - Food,Coffee Shop,Food and Drinks
11/13/2023,Expense,Coffee Shop,214.65,20. Coffee Shop - Food,Coffee Shop,Food and Drinks
11/18/2023,Expense,Public Transport Ticket,417.84,34. Public Transport Ticket - Travel,Public Transport Ticket,Travel
11/23/2023,Expense,Online Shopping,537.86,3. Online Shopping - Shopping,Online Shopping,Shopping
11/23/2023,Income,Freelance Work,2542.38,32. Freelance Work - Income,Freelance Work,Income
11/24/2023,Expense,Medical Expenses,963.57,35. Medical Expenses - Healthcare,Medical Expenses,Health and Wellness
11/25/2023,Income,Salary,1816.43,33. Salary - Income,Salary,Income
11/25/2023,Expense,Dining Out,872.14,5. Dining Out - Food,Dining Out,Food and Drinks
11/29/2023,Expense,Water Bill,308.6,14. Water Bill - Utilities,Water Bill,Utilities
11/29/2023,Expense,Water Bill,308.6,24. Water Bill - Utilities,Water Bill,Utilities
12/1/2023,Expense,Public Transport Ticket,989.93,34. Public Transport Ticket - Travel,Public Transport Ticket,Travel
12/1/2023,Expense,Insurance Payment,26.02,6. Insurance Payment - Insurance,Insurance Payment,Insurance
12/5/2023,Expense,Medical Expenses,691.81,35. Medical Expenses - Healthcare,Medical Expenses,Health and Wellness
12/9/2023,Income,Real Estate Rental Income,4215.57,38. Real Estate Rental Income - Income,Real Estate Rental Income,Income
12/13/2023,Expense,Rent Payment,533.43,15. Rent Payment - Housing,Rent Payment,Housing
12/13/2023,Expense,Rent Payment,533.43,25. Rent Payment - Housing,Rent Payment,Housing
12/13/2023,Expense,Entertainment,372.64,18. Entertainment - Leisure,Entertainment,Leisure
12/14/2023,Expense,Grocery Shopping,442.44,,,
12/14/2023,Expense,Clothing Purchase,382.99,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
12/15/2023,Expense,Travel Expenses,573.88,16. Travel Expenses - Travel,Travel Expenses,Travel
12/15/2023,Expense,Travel Expenses,573.88,26. Travel Expenses - Travel,Travel Expenses,Travel
12/16/2023,Expense,Phone Bill,964.87,39. Phone Bill - Utilities,Phone Bill,Utilities
12/22/2023,Income,Tax Refund,2886.27,9. Tax Refund - Taxes,Tax Refund,Taxes
12/22/2023,Income,Tax Refund,2886.27,19. Tax Refund - Taxes,Tax Refund,Taxes
12/23/2023,Expense,Travel Expenses,932.33,16. Travel Expenses - Travel,Travel Expenses,Travel
12/23/2023,Expense,Travel Expenses,932.33,26. Travel Expenses - Travel,Travel Expenses,Travel
12/24/2023,Expense,Grocery Shopping,549.12,,,
12/26/2023,Expense,Clothing Purchase,207.26,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
12/27/2023,Expense,Dining Out,260.54,5. Dining Out - Food,Dining Out,Food and Drinks
12/29/2023,Expense,Streaming Service Subscription,862.08,29. Streaming Service Subscription - Leisure,Streaming Service Subscription,Leisure
12/29/2023,Expense,Clothing Purchase,769.78,37. Clothing Purchase - Shopping,Clothing Purchase,Shopping
12/30/2023,Expense,Medical Expenses,594.12,35. Medical Expenses - Healthcare,Medical Expenses,Health and Wellness
